Month,Monthly beer production
1987-09-01,152.3
1987-10-01,151.2
1987-11-01,172.2
1987-12-01,215.3
1988-01-01,154.1
1988-02-01,159.3
1988-03-01,160.4
1988-04-01,151.9
1988-05-01,148.4
1988-06-01,139.6
1988-07-01,148.2
1988-08-01,153.5
1988-09-01,145.1
1988-10-01,183.7
1988-11-01,210.5
1988-12-01,203.3
1989-01-01,153.3
1989-02-01,144.3
1989-03-01,169.6
1989-04-01,143.7
1989-05-01,160.1
1989-06-01,135.6
1989-07-01,141.8
1989-08-01,159.9
1989-09-01,145.7
1989-10-01,183.5
1989-11-01,198.2
1989-12-01,186.8
1990-01-01,172.0
1990-02-01,150.6
1990-03-01,163.3
1990-04-01,153.7
1990-05-01,152.9
1990-06-01,135.5
1990-07-01,148.5
1990-08-01,148.4
1990-09-01,133.6
1990-10-01,194.1
1990-11-01,208.6
1990-12-01,197.3
1991-01-01,164.4
1991-02-01,148.1
1991-03-01,152.0
1991-04-01,144.1
1991-05-01,155.0
1991-06-01,124.5
1991-07-01,153.0
1991-08-01,146.0
1991-09-01,138.0
1991-10-01,190.0
1991-11-01,192.0
1991-12-01,192.0
1992-01-01,147.0
1992-02-01,133.0
1992-03-01,163.0
1992-04-01,150.0
1992-05-01,129.0
1992-06-01,131.0
1992-07-01,145.0
1992-08-01,137.0
1992-09-01,138.0
1992-10-01,168.0
1992-11-01,176.0
1992-12-01,188.0
1993-01-01,139.0
1993-02-01,143.0
1993-03-01,150.0
1993-04-01,154.0
1993-05-01,137.0
1993-06-01,129.0
1993-07-01,128.0
1993-08-01,140.0
1993-09-01,143.0
1993-10-01,151.0
1993-11-01,177.0
1993-12-01,184.0
1994-01-01,151.0
1994-02-01,134.0
1994-03-01,164.0
1994-04-01,126.0
1994-05-01,131.0
1994-06-01,125.0
1994-07-01,127.0
1994-08-01,143.0
1994-09-01,143.0
1994-10-01,160.0
1994-11-01,190.0
1994-12-01,182.0
1995-01-01,138.0
1995-02-01,136.0
1995-03-01,152.0
1995-04-01,127.0
1995-05-01,151.0
1995-06-01,130.0
1995-07-01,119.0
1995-08-01,153.0
